index,PSNR_r,PSNR_c
81,114.40933028478281,104.91915494519199
82,109.51552285650634,97.81125688990272
83,111.47251038108865,99.05346808107412
84,110.39803209754456,97.36819216757836
85,114.93351838672422,104.24188486351127
86,112.15033337729828,101.15961658203548
87,116.00642188066888,103.36523255157908
88,114.0347158218868,103.57711006674336
89,114.41683948799584,102.25729997745312
90,114.32939243502992,101.50259065441203
91,115.24144449078925,103.54328056368661
92,116.24227724391454,106.36111415385166
93,118.49997893667216,106.88789673119247
94,112.13207173957791,102.08420551084569
95,113.2601104113663,106.64073872141532
96,113.44554723169742,101.9558290228106
97,111.81916620809618,103.49631249710401
98,115.96793857702458,105.12600238652664
99,111.04941219920221,98.33984565520751
100,118.32787768320968,107.31218784564788
101,114.15650634121825,104.26840082097699
102,116.8345391637814,105.40984512803021
103,114.47334618188022,102.94600721105306
104,117.62844934947864,106.4056860863471
105,111.84548125286236,99.41375082915242
106,100.97732876554886,87.43368760758415
107,111.01170035652947,101.30083410957384
108,114.07518061583417,107.82395800854653
109,118.93340523626449,108.315545080685
110,115.95037888250019,106.33389811020068
111,114.61261191916849,105.30489484535009
112,116.3640042043497,106.49857401439417
113,115.59503075723661,104.49434535420403
114,114.24322723601148,103.44817118198156
115,118.18983400999053,107.6089637398473
116,117.81286823014662,105.90975044220897
117,110.14611010430963,100.42545982876428
118,116.21124507395538,104.0377628743888
119,112.77493056500562,104.66453042163225
120,115.0891376542758,104.69664576275676
121,115.59231487904354,104.35642745418696
122,113.40976305404693,100.99604302415582
123,115.02872891088886,102.68066149379884
124,116.5661338728121,105.2649405386775
125,113.98087357731923,102.60652760098236
126,117.19383538152422,107.83009186274845
127,106.1555055629811,94.22751893697301
128,115.01724229201088,103.54104887295811
129,112.7298602391368,100.0277796340423
130,117.17626750644587,105.83036697595136
131,118.16136180824257,107.81977755502396
132,117.54460806499972,107.96875808852374
133,114.21981873356623,105.50331856559518
134,112.83456814913322,98.92320181237316
135,113.5331896427907,103.87328636913014
136,116.30207893995349,105.22923499348482
137,119.33872745427283,107.58949021627083
138,116.22392052333765,105.01089405866709
139,118.22372025556761,108.59692046495769
140,114.75259158453457,104.95466636450935
141,116.0718236586481,105.88710660730904
142,111.75661677801682,102.77394256346338
143,114.74278136594006,108.20909864457377
144,114.36190491494028,101.58343405881027
145,114.61334003146175,103.87546560989149
146,110.40020810822313,102.67918589935265
147,111.27205044051453,101.87997476383991
148,112.35888544648475,101.66512353793102
149,114.16729924697694,105.82662043989289
150,115.54053686387022,104.55360593766683
151,109.0302256257788,97.83948195024549
152,114.63993022866416,103.2468389075589
153,114.69421939475703,102.97056960150121
154,117.56002028610637,107.78760367724001
155,106.83422574505647,94.39685878273009
156,116.54659251074713,104.95187134356365
157,113.86627739672954,102.2052727307662
158,114.54858902713357,102.9691700032462
159,112.53505814069791,102.22359705113364
160,112.97248485669357,100.74896897869804
161,117.50969342388046,108.33126983242707
162,119.43904239202601,108.48963104362286
163,119.70172931602971,109.27378881451804
164,118.81969528300144,107.3654417031505
165,117.66908123107504,105.94656468876875
166,114.29279490512448,104.1618854741518
167,113.94040000093673,106.70739693300561
168,116.54287070691076,105.06661386204043
169,114.80237753341862,103.51108844596295
170,114.92561302269165,104.40785461997491
171,112.93781343989316,103.73165361524929
172,115.23603320067014,103.01518198915622
173,117.95368715024668,107.76901710507326
174,114.16206661282416,104.2912321471981
175,113.35947119895948,101.95621990518484
176,117.49708083000144,108.01541288961887
177,116.35485500975037,106.9674909939482
178,115.21133071226103,105.56336273281339
179,119.58343795261922,108.17678475203166
180,117.34762116640356,106.54287867232122
181,116.049037106322,105.41179031052826
182,109.7279426778278,97.90530473233238
183,110.05366212684287,98.70862031302488
184,110.19873865287724,97.36190159402126
185,115.45591767192084,104.23318126137181
186,112.02564915274084,101.21720999184598
187,112.40844024070596,102.86301348526422
188,115.68379578269807,104.0071048653079
189,113.21460467116482,101.95296251664905
190,113.23768286245362,101.74588288129073
191,114.32959855703461,103.27808209339173
